iter	finding	delta	score	guard	decision	notes
0	baseline	-	112	pass	baseline	extended-checklist scaffolding committed (5b95b28)
1	N1	+10	122	pass	keep	parse-error path: generic message + server-side log
2	N5	+8	130	pass	keep	console.error logs structured fields, not raw err
3	N4	+8	138	pass	keep	content-length>64KB rejected with 413 before json()
4	N10	+6	144	pass	keep	drop Authorization from Worker CORS allow-list
5	DISC	+8	152	pass	keep	SECURITY.md ## Out of scope: client-side circumvention
6	N6	+12	164	pass	keep	CI now runs npm audit + checklist gate >=100
7	N7	+8	172	pass	keep	WAF detection in build-worker-corpus.mjs
8	N9	+6	178	pass	keep	disk cache mkdir 0o700 + writeFileSync 0o600
9	N8	+6	184	pass	keep	replaced new Function with typeof guards
10	N3	+8	192	pass	keep	esbuild ^0.28.0; dist regenerated; npm audit clean at moderate
